ra,dec,m,sp_cl,hd_id,bayer_name,proper_name
4.95352803,-0.45896342,2.02,B2.5,175191,sig Sgr,Nunki
0.19019726,-0.31392655,2.04,G9.5,4128,bet Cet,Diphda
1.48683872,-0.03390787,2.05,O9.7,37742,zet Ori,Alnitak
0.03660101,0.50772598,2.06,B8,358,alp And,Alpheratz
0.30426179,0.62169598,2.06,M0,6860,bet And,Mirach
1.51737471,-0.16876849,2.06,B0.5,38771,kap Ori,Saiph
3.69435297,-0.63477625,2.06,K0,123139,the Cen,Menkent
3.88643373,1.29425860,2.08,K4,131873,bet UMi,Kochab
4.60302229,0.21921335,2.08,A5,159561,alp Oph,Rasalhague
5.94576226,-0.81829277,2.1,M5,214952,bet Gru,Tiaki
0.82103924,0.71480929,2.12,B8,19356,bet Per,Algol
3.09385790,0.25432841,2.14,A3,102647,bet Leo,Denebola
3.32274329,-0.85450835,2.17,A1,110304,gam Cen,
5.33297716,0.70261138,2.2,F8,194093,gam Cyg,Sadr
2.39108653,-0.75804013,2.21,K4.5,78647,lam Vel,Suhail
0.17675095,0.98676068,2.23,K0,3712,alp Cas,Schedar
1.44865237,-0.00522144,2.23,O9.5,36486,del Ori,Mintaka
4.07834722,0.46625986,2.23,A0,139006,alp CrB,Alphecca
4.69758277,0.89865064,2.23,K5,164058,gam Dra,Eltanin
2.11003762,-0.69818988,2.25,O5,66811,zet Pup,Naos
2.43076368,-1.03454876,2.25,A8,80404,iot Car,Aspidiske
0.54061574,0.73879302,2.26,K3,12533,gam And,Almach
0.04004803,1.03235740,2.27,F2,432,bet Cas,Caph
3.50778455,0.95862694,2.27,A1,116656,zet UMa,Mizar
4.40766904,-0.59853158,2.29,K2.5,151680,eps Sco,Larawag
3.57743046,-0.93316453,2.3,B1,118716,eps Cen,
3.84814557,-0.82708244,2.3,B1.5,129056,alp Lup,
3.82011849,-0.73579203,2.31,B1.5,127972,eta Cen,
4.19024465,-0.39482257,2.32,B0.3,143275,del Sco,Dschubba
2.88782905,0.98406027,2.37,A1,95418,bet UMa,Merak
0.11468268,-0.73838093,2.39,K0,2261,alp Phe,Ankaa
5.69058785,0.17235126,2.39,K2,206778,eps Peg,Enif
4.63597992,-0.68120201,2.41,B1.5,160578,kap Sco,
6.03785746,0.49013694,2.42,M2.5,217906,bet Peg,Scheat
4.49587361,-0.27444818,2.43,A2,155125,eta Oph,Sabik
3.11467095,0.93714969,2.44,A0,103287,gam UMa,Phecda
5.57885769,1.09232401,2.44,A7,203280,alp Cep,Alderamin
1.93772999,-0.51143480,2.45,B5,58350,eta CMa,Aludra
5.43762419,0.59289320,2.46,K0,197989,eps Cyg,Aljanah
0.24743678,1.05970574,2.47,B0,5394,gam Cas,
6.04216261,0.26538216,2.49,B9,218045,alp Peg,Markab
2.45268211,-0.96012017,2.5,B2,81188,kap Vel,Markeb
0.79534654,0.07137912,2.53,M1.5,18884,alp Cet,Menkar
3.64573101,-0.82533711,2.55,B2.5,121263,zet Cen,
2.94135248,0.35820459,2.56,A4,97603,del Leo,Zosma
4.35092402,-0.18443282,2.56,O9.5,149757,zet Oph,
1.45180851,-0.31105646,2.58,F0,36673,alp Lep,Arneb
3.21056225,-0.30616469,2.59,B8,106625,gam Crv,Gienah
3.17806276,-0.88527463,2.6,B2,105435,del Cen,
4.98558391,-0.52150923,2.6,A2,176687,zet Sgr,Ascella
2.70513671,0.34630241,2.61,K1,89484,gam1 Leo,Algieba
4.00119640,-0.16376521,2.61,B8,135742,bet Lib,Zubeneschamali
1.56958187,0.64948065,2.62,A0,40312,the Aur,Mahasim
4.21251214,-0.34567215,2.62,B1,144217,bet Sco,Acrab
0.50021136,0.36316908,2.64,A5,11636,bet Ari,Sheratan
1.48199543,-0.59470640,2.64,B7,37795,alp Col,Phact
3.29163279,-0.40834887,2.65,G5,109379,bet Crv,Kraz
4.12014786,0.11214710,2.65,K2,140573,alp Ser,Unukalhai
0.37444585,1.05130392,2.68,A5,8538,del Cas,Ruchbah
3.64200037,0.32110180,2.68,G0,121370,eta Boo,Muphrid
3.92058400,-0.75282838,2.68,B2,132058,bet Lup,
1.29587788,0.57885784,2.69,K3,31398,iot Aur,Hassaleh
2.82206650,-0.86254172,2.69,G5,93497,mu Vel,
3.30383555,-1.20664307,2.69,B2,109668,alp Mus,
4.58481996,-0.65093509,2.69,B2,158408,ups Sco,Lesath
1.90739762,-0.64747352,2.7,K3,56855,pi Pup,Ahadi
3.86148279,0.47253335,2.7,K0,129989,eps Boo A,
4.80399695,-0.52059778,2.7,K3,168454,del Sgr,Kaus Media
5.17603570,0.18523761,2.72,K3,186791,gam Aql,Tarazed
4.25138208,-0.06448022,2.74,M0.5,146051,del Oph,Yed Prior
4.29347360,1.07362474,2.74,G8,148387,eta Dra,Athebyne
3.49326195,-0.64074915,2.75,A2,115892,iot Cen,
3.88719004,-0.27997990,2.75,A3,130841,alp2 Lib,Zubenelgenubi
2.80542770,-1.12389508,2.76,B0,93030,the Car,
1.46360402,-0.10314896,2.77,O9,37043,iot Ori,Hatysa
4.32064983,0.37506641,2.77,G7,148856,bet Her,Kornephoros
4.64027779,0.07971307,2.77,K2,161096,bet Oph,Cebalrai
4.08032526,-0.71849872,2.78,B2,138690,gam Lup,
1.34324903,-0.08877423,2.79,A3,33111,bet Eri,Cursa
4.58338006,0.91283144,2.79,G2,159181,bet Dra,Rastaban
0.11236284,-1.34833957,2.8,G2,2151,bet Hyi,
3.20767518,-1.02536154,2.8,B2,106490,del Cru,Imai
2.12730910,-0.42418773,2.81,F6,67523,rho Pup,Tureis
4.36893727,0.55157737,2.81,G0,150680,zet Her,
4.83443113,-0.44369178,2.81,K1,169916,lam Sgr,Kaus Borealis
4.34536078,-0.49246404,2.82,B0,149438,tau Sco,Paikauhale
0.05775585,0.26500401,2.83,B2,886,gam Peg,Algenib
3.41288954,0.19127354,2.83,G8,113226,eps Vir,Vindemiatrix
1.43223900,-0.36232066,2.84,G5,36079,bet Lep,Nihal
1.02159212,0.55647399,2.85,B1,24398,zet Per,
4.16759173,-1.10707204,2.85,F2,141891,bet TrA,
4.56098167,-0.96918133,2.85,K3,157244,bet Ara,
0.51823189,-1.07459437,2.86,F0,12311,alp Hyi,
5.84031528,-1.05173056,2.86,K3,211416,alp Tuc,
0.99259056,0.42071162,2.87,B7,23630,eta Tau,Alcyone
5.17042883,0.78768164,2.87,B9.5,186882,del Cyg,Fawaris
5.70303786,-0.28147313,2.87,A,207098,del Cap,Deneb Algedi
1.67097823,0.39293664,2.88,M3,44478,mu Gem,Tejat
1.98356669,0.55656126,2.88,A2,60178,alp1 Gem,Castor B
1.03783095,0.69831108,2.89,B0.5,24760,eps Per,
4.00950126,-1.19868243,2.89,A1,135382,gam TrA,
4.18377966,-0.45577819,2.89,B1,143018,pi Sco,Fang
4.28124175,-0.44667824,2.89,B1,147165,sig Sco,Alniyat
5.01678895,-0.36693123,2.89,F2,178524,pi Sgr,Albaldah
1.95105994,0.14467810,2.9,B8,58715,bet CMi,Gomeisa
3.38606238,0.66878108,2.9,A0,112413,alp2 CVn,Cor Caroli
5.63548635,-0.09723423,2.91,G0,204867,bet Aqr,Sadalsuud
0.80632757,0.93386266,2.93,G8,18925,gam Per,
1.78868614,-0.88339355,2.93,K1,50310,tau Pup,Altaleban
5.94721670,0.52746274,2.94,G2,215182,eta Peg,Matar
1.03860180,-0.23576974,2.95,M0.5,25025,gam Eri,Zaurak
3.27190330,-0.28825082,2.95,B9.5,108767,del Crv,Algorab
4.58952507,-0.87050236,2.95,B2,158427,alp Ara,
5.78482108,-0.00558021,2.96,G2,209750,alp Aqr,Sadalmelik
1.76248438,0.43862063,2.98,G8,48329,eps Gem,Mebsuta
2.55626013,0.41493749,2.98,G1,84441,eps Leo,
1.31758541,0.76486146,2.99,F0,31964,eps Aur,Almaaz
4.73773262,-0.53100188,2.99,K0,165135,gam2 Sgr,Alnasl
4.99779395,0.24196081,2.99,A0,177724,zet Aql,Okab
0.56523942,0.61064222,3,A5,13161,bet Tri,
1.47325424,0.36900624,3,B4,37202,zet Tau,Tianguan
3.18577130,-0.39478863,3,K2.5,105707,eps Crv,Minkar
3.48595339,-0.40442188,3,G8,115659,gam Hya,
0.97269381,0.83404922,3.01,B5,22928,del Per,
2.56171428,-1.13571968,3.01,A6,85123,ups Car,
2.92195751,0.77664728,3.01,K1,96833,psi UMa,
5.73309389,-0.65214228,3.01,B8,207971,gam Gru,Aldhanab
1.65942996,-0.52470415,3.02,B2.5,44402,zet CMa,Furud
1.84579477,-0.41597014,3.02,B3,53138,omi2 CMa,
3.80515956,0.66860655,3.03,A7,127762,gam Boo,Seginus
4.65821832,-0.70034730,3.03,F2,161471,iot1 Sco,
0.60800726,-0.05196718,3.04,M7,14386,omi Cet,Mira
3.61988559,-0.74130921,3.04,B2,120324,mu Cen,
2.71541961,0.72430194,3.05,M0,89758,mu UMa,Tania Australis
3.34353452,-1.18870982,3.05,B2.5,110879,bet Mus,
4.01743523,1.25373788,3.05,A3,137422,gam UMi,Pherkad
5.02896989,1.18091886,3.07,G9,180711,del Dra,Altais
4.41511578,-0.66405415,3.08,B1.5,151890,mu1 Sco,Xamidimura
5.10823693,0.48798921,3.08,K3,183912,bet Cyg,Albireo
5.32766845,-0.25798390,3.08,F8,193495,bet1 Cap,Dabih
2.33609411,0.10376952,3.11,G9,76294,zet Hya,
2.83452379,-0.28263183,3.11,K2,93813,nu Hya,
4.78929982,-0.64161212,3.11,M3.5,167618,eta Sgr,
5.39990326,-0.82539044,3.11,K0,196171,alp Ind,
1.53135189,-0.62427518,3.12,K2,39425,bet Col,Wazn
2.44806426,0.60026236,3.13,K7,80493,alp Lyn,
2.49242471,-0.99543884,3.13,K5,82668,N Vel,
3.03591297,-1.09990165,3.13,B9,100841,lam Cen,
3.92333290,-0.73485634,3.13,B2,132200,kap Cen,
4.44456821,-0.97721470,3.13,K3,152786,zet Ara,
2.35273292,0.83848526,3.14,A7,76644,iot UMa,Talitha
4.51617761,0.43352524,3.14,A3,156164,del Her,Sarin
4.51624306,0.64244115,3.16,K3,156283,pi Her,
1.33742399,0.71967682,3.17,B3,32630,eta Aur,Haedus
1.73556268,-0.75391436,3.17,B8,47670,nu Pup,
2.49955874,0.90193768,3.17,F6,82328,the UMa,
4.48892866,1.14693827,3.17,B6,155763,zet Dra,Aldhibah
4.91160377,-0.47107891,3.17,B8,173300,phi Sgr,
1.26466558,0.12149916,3.19,F6,30652,pi3 Ori,Tabit
1.33282796,-0.39044955,3.19,K5,32887,eps Lep,
3.85066175,-1.13403253,3.19,A,128898,alp Cir,
4.44041578,0.16362462,3.2,K2,153210,kap Oph,
5.55423400,0.52755970,3.2,G8,202109,zet Cyg,
4.66813761,-0.64652813,3.21,K2,161892,G Sco,Fuyue
6.19306814,1.35494273,3.21,K1,222404,gam Cep,Errai
4.02024230,-0.70943271,3.22,B1.5,136298,del Lup,
5.28531512,-0.01433594,3.23,B9.5,191692,the Aql,
5.62283998,1.23151886,3.23,B1,205021,bet Cep,Alfirk
0.77781325,-0.70345011,3.24,A4,18622,the1 Eri,Acamar
0.99151428,-1.29571304,3.24,M2,24512,gam Hyi,
4.26873356,-0.08189958,3.24,G9.5,146791,eps Oph,Yed Posterior
4.96957779,0.57053844,3.24,B9,176437,gam Lyr,Sulafat
1.96013565,-0.75575181,3.25,K5,59717,sig Pup,Hadir
4.80537140,-0.05059516,3.26,K0,168723,eta Ser,
0.17160223,0.53862315,3.27,K3,3627,del And,
1.19553599,-0.96071649,3.27,A0,29305,alp Dor,
1.78106487,-1.08108118,3.27,A7,50241,alp Pic,
3.69299307,-0.46569748,3.27,K2,123123,pi Hya,
4.54662633,-0.43632262,3.27,B2,157056,the Oph,
5.99804214,-0.27612563,3.27,A3,216627,del Aqr,Skat
1.63570803,0.39281544,3.28,M3,42995,eta Gem,Propus
3.94474954,-0.44125317,3.29,M3,133216,sig Lib,Brachium
4.03576846,1.02915279,3.29,K2,137759,iot Dra,Edasich
0.28834294,-0.81539359,3.31,G8,6595,bet Phe,
1.36542198,-0.28284030,3.31,B9,33904,mu Lep,
3.20890419,0.99540491,3.31,A3,106591,del UMa,Megrez
2.67793139,-1.22239467,3.32,B8,89080,ome Car,
2.75772203,-1.07661120,3.32,B4,91465,p Car,
5.00446983,-0.48294230,3.32,K1,177716,tau Sgr,
4.50361851,-0.75466582,3.33,F3,155203,eta Sco,
2.04768573,-0.43388400,3.34,G6,63700,xi Pup,Azmidi
2.94192699,0.26929461,3.34,A2,97633,the Leo,Chertan
4.56138891,-0.98397300,3.34,B1,157246,gam Ara,
4.70814201,-0.17058169,3.34,K0,163917,nu Oph,
1.11013849,-1.09037506,3.35,G8,27256,alp Ret,
5.80695040,1.01580102,3.35,K1.5,210745,zet Cep,
1.41579654,-0.04183457,3.36,B1,35411,eta Ori,
1.76841123,0.22506990,3.36,F5,48737,xi Gem,Alzirr
2.22645108,1.05972998,3.36,G5,71369,omi UMa,Muscida
5.08544584,0.05436216,3.36,F3,182640,del Aql,
3.55477027,-0.01039925,3.37,A3,118098,zet Vir,Heze
4.02595826,-0.77997795,3.37,B2,136504,eps Lup,
0.49914235,1.11125113,3.38,B3,11415,eps Cas,Segin
2.29849681,0.11203075,3.38,G5,74874,eps Hya,Ashlesha
3.38420796,0.05929756,3.38,M3,112300,del Vir,Minelauva
0.80798563,0.67789073,3.39,M4,19058,rho Per,Gorgonea Tertia
1.17225766,0.27699830,3.4,A7,28319,the2 Tau,Chamukuy
2.69253398,-1.07044922,3.4,K3,89388,q Car,
5.94049718,0.18904340,3.4,B8,214923,zet Peg,Homam
0.38556505,-0.75604754,3.41,M0,9053,gam Phe,
0.49341185,0.51624900,3.41,F6,11443,alp Tri,Mothallah
3.61939835,-0.72758898,3.41,B2,120307,nu Cen,
3.98059424,-0.90930200,3.41,G8,134505,zet Lup,
4.18932108,-0.67015310,3.41,B2.5,143118,eta Lup,
4.65330231,0.48381496,3.42,G5,161797,mu Her,
5.43215549,-1.15546129,3.42,A7,197051,bet Pav,
5.43360266,1.07929222,3.43,K0,198149,eta Cep,
0.21423917,1.00907665,3.44,F9,4614,eta Cas,Achird
2.40404560,-1.02916733,3.44,B2,79351,a Car,
2.69081774,0.40870763,3.44,F0,89025,zet Leo,Adhafera
5.00145187,-0.08521570,3.44,B9,177756,lam Aql,
0.29928033,-0.17771330,3.45,K1.5,6805,eta Cet,
2.69259216,0.74899835,3.45,A2,89021,lam UMa,Tania Borealis
4.93090420,0.58229032,3.45,B8,174638,bet Lyr,Sheliak
0.71253067,0.05647595,3.47,A3,16970,gam Cet,Kaffaljidhma
1.05016461,0.21799647,3.47,B3,25204,lam Tau,
1.84009336,-0.48755288,3.47,K7,52877,sig CMa,Nganurganity
2.08033793,-0.92471422,3.47,B3,65575,chi Car,
3.99463687,0.58145159,3.47,G8,135722,del Boo,
5.23056269,0.34020346,3.47,M0,189319,gam Sge,
2.96042021,0.57760217,3.48,K3,98262,nu UMa,Alula Borealis
4.51450500,0.25115773,3.48,M5,156014,alp1 Her,Rasalgethi
5.97776723,0.42938008,3.48,G8,216131,mu Peg,Sadalbari
5.97144769,-0.89564964,3.49,A3,215789,eps Gru,
0.45408377,-0.27816185,3.5,G8,10700,tau Cet,
3.93548475,0.70494818,3.5,G8,133208,bet Boo,Nekkar
4.83008235,-0.80229877,3.51,B3,169467,alp Tel,
4.96428362,-0.36838083,3.51,K1,175775,xi2 Sgr,
2.16645538,0.16031819,3.52,K4,69267,bet Cnc,Tarf
2.53574524,0.17265185,3.52,F6,83808,omi Leo,Subra
2.64999158,0.29256566,3.52,A0,87737,eta Leo,
5.97635642,1.15541766,3.52,K0,216228,iot Cep,
1.17206131,0.33475900,3.53,G9.5,28305,eps Tau,Ain
1.92040032,0.38366215,3.53,F2,56986,del Gem,Wasat
4.14349891,-0.05986964,3.53,A0,141513,mu Ser,
4.37596222,0.67932093,3.53,G7.5,150997,eta Her,
5.80409243,0.10817163,3.53,A2,210418,the Peg,Biham
0.97410462,-0.17040231,3.54,K0,23249,del Eri,Rana
1.46231684,0.17338392,3.54,O8,36861,lam Ori,Meissa
2.60430759,-0.95238739,3.54,B5,86440,phi Vel,
3.02379020,-0.55602311,3.54,G7,100407,xi Hya,
4.61459236,-0.26875646,3.54,F0,159876,xi Ser,
1.51387678,-0.25869173,3.55,A3,38678,zet Lep,
3.74985444,-0.80385987,3.55,B2.5,125238,iot Lup,
0.08477210,-0.15400591,3.56,K1.5,1522,iot Cet,
0.59563724,-0.89905788,3.56,B8,14228,phi Eri,
1.12527922,-0.58989220,3.56,B9,27376,ups4 Eri,
2.96418721,-0.25793542,3.56,G8,98430,del Crt,
4.02214035,-0.63288063,3.56,K5,136422,phi1 Lup,
5.27406502,-1.15509284,3.56,G6-8,190248,del Pav,
0.42757658,0.84872453,3.57,K3,9927,51 And,Nembus
2.02653088,0.42582640,3.57,G8,62345,kap Gem,
4.41714472,-0.66353055,3.57,B2,151985,mu2 Sco,Pipirima
4.80426602,1.26942645,3.57,F7,170153,chi Dra,
5.31476756,-0.21894671,3.57,G8,192947,alp2 Cap,Algedi
1.91154277,0.28868231,3.58,A3,56537,lam Gem,
3.80407600,0.53008073,3.58,K3,127665,rho Boo,
4.08854286,-0.49104839,3.58,K3,139063,ups Lib,
3.23479324,-1.05419826,3.59,K3-4,107446,eps Cru,Ginan
0.36662095,-0.14282611,3.6,K0,8512,the Cet,
0.89366675,0.15758384,3.6,G6,21120,omi Tau,
1.38582051,-0.11945809,3.6,B5,34503,tau Ori,
1.50300483,-0.39179733,3.6,F6,38393,gam Lep,
1.80112888,0.59273321,3.6,A3,50019,the Gem,
2.37201154,0.82303910,3.6,A1,77327,kap UMa,Alkaphrah
2.49014851,-0.70627657,3.6,F3,82434,psi Vel,
2.03005790,-0.66267728,3.61,K2.5,63032,c Pup,
2.66419420,-0.21562088,3.61,K0,88284,lam Hya,
3.10099193,0.03080021,3.61,F9,102870,bet Vir,Zavijava
0.39917134,0.26783532,3.62,G7,9270,eta Psc,Alpherg
2.27020794,-0.92366218,3.62,B3,74195,omi Vel,
3.41329678,-1.24876369,3.62,K2,112985,del Mus,
4.42695493,-0.73934571,3.62,K4,152334,zet2 Sco,
4.58628167,-1.05913366,3.62,B8,158094,del Ara,
4.65013890,-1.12964497,3.62,K2,160635,eta Pav,
6.02977077,0.73873000,3.62,B6,217675,omi And,
0.74169221,0.47578645,3.63,B8,17573,41 Ari,Bharani
0.99990640,0.41980986,3.63,B8,23850,27 Tau,Atlas
5.39983054,0.25473565,3.63,F5,196524,bet Del,Rotanev
3.07878989,-1.16463397,3.64,A7,102249,lam Mus,
1.13356226,0.27275133,3.65,K0,27371,gam Tau,Prima Hyadum
3.32336870,-0.02529758,3.65,F0,110379,gam Vir,Porrima
3.68433915,1.12357025,3.65,A0,123299,alp Dra,Thuban
5.47514150,-1.02021767,3.65,K1,198700,bet Ind,
0.16131933,0.94067914,3.66,B2,3360,zet Cas,Fulu
4.09566234,-0.51972027,3.66,B2.5,139365,tau Lib,
4.74132508,-0.87426451,3.66,B2,165024,the Ara,
6.06260478,-0.36952984,3.66,K1,218594,c2 Aqr,
2.49376280,1.10063856,3.67,F0,81937,23 UMa,
4.12852544,0.26916371,3.67,A2,141003,bet Ser,Chow
2.28459963,-0.57921175,3.68,B1.5,74575,alp Pyx,
3.32336870,-0.02529758,3.68,F0,110380,gam Vir B,
4.04841483,0.50799262,3.68,F0,137909,bet CrB,Nusakan
5.67272004,-0.29081064,3.68,F0,206088,gam Cap,Nashira
0.87055569,-0.37974486,3.69,M3.5,20720,tau4 Eri,
1.27062878,0.09782570,3.69,B2,30836,pi4 Ori,
2.55362032,-1.09096653,3.69,G5,84810,l Car,
6.09628236,0.05728558,3.69,G9,219615,gam Psc,
0.50596368,-0.90074503,3.7,G8,11937,chi Eri,
0.98120229,0.42085706,3.7,B6,23302,17 Tau,Electra
4.70263695,0.51047002,3.7,G8,163993,xi Her,
1.55511018,-0.24727437,3.71,F1,40136,eta Lep,
3.08072430,0.83390862,3.71,K0.5,102224,chi UMa,Taiyangshou
4.14872035,0.07815197,3.71,A2,141795,eps Ser,
5.21553831,0.11181743,3.71,G8,188512,bet Aql,Alshain
1.28391510,0.04259573,3.72,B3,31237,pi5 Ori,
1.56873102,0.94744714,3.72,K0,40035,del Aur,
3.86698785,0.03303520,3.72,A0,130109,109 Vir,
5.51930560,0.76668436,3.72,K4.5,200905,xi Cyg,
5.56232797,0.66402021,3.72,F2,202444,tau Cyg,
0.48633600,-0.18037978,3.73,K0,11353,zet Cet,Baten Kaitos
0.92908239,-0.16507906,3.73,K2,22049,eps Eri,Ran
2.06043390,-0.70818189,3.73,K1-2,64440,a Pup,
4.74445941,0.16692135,3.73,A4,165777,72 Oph,
0.90394965,0.16986902,3.74,B9,21364,xi Tau,
5.61414243,-0.39115253,3.74,G4,204075,zet Cap,
5.98916278,-0.13229111,3.74,M2.5,216386,lam Aqr,
1.31981071,0.71690853,3.75,K4,32068,zet Aur,Saclateni
2.37432410,-0.82201129,3.75,K2,78004,c Vel,
4.28443425,0.33428388,3.75,A9,147547,gam Her,
4.65956368,0.04724994,3.75,A0,161868,gam Oph,
4.68415101,0.99261723,3.75,K2,163588,xi Dra,Grumium
5.88687194,1.01953893,3.75,F5,213306,del Cep,
0.74480471,0.97556148,3.76,K3,17506,eta Per,Miram
1.14727037,0.30617438,3.76,K0,27697,del1 Tau,Secunda Hyadum
1.45571368,-1.09065140,3.76,F6,37350,bet Dor,
4.40601825,-1.03046663,3.76,K5,151249,eta Ara,
5.67875597,-1.35071031,3.76,K0,205478,nu Oct,
5.79018070,0.44235370,3.76,F5,210027,iot Peg,
0.98259128,0.74313695,3.77,F5,23230,nu Per,
2.20669250,-1.15430744,3.77,K1,71878,bet Vol,
4.99462326,-0.37946367,3.77,G9,177241,omi Sgr,
5.04881574,0.93145798,3.77,G9,181276,kap Cyg,
5.40894261,0.27771582,3.77,B9,196867,alp Del,Sualocin
5.44401646,-0.16573356,3.77,A1,198001,eps Aqr,Albali
5.89612218,0.87759518,3.77,A1,213558,alp Lac,
1.87076752,-1.23043773,3.78,K0,55865,gam2 Vol,
2.85140258,-1.02718444,3.78,K1,94510,u Car,
1.85052170,0.35901908,3.79,F7,52973,zet Gem,Mekbuda
1.94484947,0.48516760,3.79,G9,58207,iot Gem,
5.10380088,0.90285397,3.79,A5,184006,iot Cyg,
5.29546712,0.81579113,3.79,K2,192577,omi1 Cyg,
0.82683519,0.78290622,3.8,K0,19476,kap Per,Misam
2.57868034,1.03041815,3.8,F2,84999,ups UMa,
2.70515853,0.34628302,3.8,G7,89485,gam2 Leo,
4.07884173,0.18391407,3.8,F0,138917,del Ser B,
4.07884173,0.18394316,3.8,F0,138918,del Ser A,
4.62278814,0.80296296,3.8,B3,160762,iot Her,
1.47806117,-0.04537856,3.81,O9.5,37468,sig Ori,
1.53292995,-0.36441020,3.81,K0,39364,del Lep,
2.73183298,-0.29385042,3.81,K4.5,90432,mu Hya,
1.20231369,-0.53341140,3.82,G8,29291,ups2 Eri,Theemin
2.43842131,0.64232480,3.82,A3,80081,38 Lyn A,
2.73963605,-1.02519671,3.82,F2,90853,s Car,
4.32367507,0.03462539,3.82,A0,148857,lam Oph,Marfik
5.18095898,0.32348223,3.82,M2,187076,del Sge,
6.18529415,0.81084603,3.82,G8,222107,lam And,
0.97877337,0.56353773,3.83,B1,23180,omi Per,Atik
2.85060991,0.59716440,3.83,K0,94264,46 LMi,Praecipua
3.65765015,-0.73479816,3.83,B2,121743,phi Cen,
3.87402007,-1.37959066,3.83,K3,129078,alp Aps,
4.74530298,0.50200033,3.83,B9.5,166014,omi Her,
5.18438419,1.22640408,3.83,G7,188119,eps Dra,Tyl
1.17187951,0.27859333,3.84,K0,28307,the1 Tau,
2.27166238,-0.81417670,3.84,F3,74180,b Vel,
2.33458150,-1.05845008,3.84,B8-9,76728,c Car,
2.78075310,-0.84169958,3.84,F4,92139,p Vel,
3.01681616,1.21005616,3.84,M0,100029,lam Dra,Giausar
4.11349379,0.45894402,3.84,B9,140436,gam CrB,
4.81579247,0.37995333,3.84,K2.5,169414,109 Her,
5.85408157,-0.02421160,3.84,A0,212061,gam Aqr,Sadachbia
0.97825705,-1.13109456,3.85,K2,23817,bet Ret,
