ra,dec,m,sp_cl,id,bayer_name,proper_name
3.21055977,-0.30616454,2.6,B8,225593,gam Crv,Gienah
4.21251453,-0.34566973,2.6,B1,231174,bet Sco,Graffias
4.35092707,-0.18443068,2.6,B0,231915,zet Oph,
4.49587259,-0.27445321,2.6,A2,232699,,
3.29163555,-0.40835037,2.6,G5,260512,bet Crv,
1.48199884,-0.59470644,2.6,B5,281732,alp Col,Phact
3.17806385,-0.88527336,2.6,B3,340720,del Cen,
0.37444286,1.05130372,2.7,A5,12969,del Cas,Ruchbah
1.29587911,0.57885749,2.7,K2,69775,iot Aur,
1.56957743,0.64948341,2.7,A0,71083,,
3.64199847,0.32110043,2.7,G0,130166,eta Boo,Muphrid
5.17603460,0.18523649,2.7,K2,136931,gam Aql,Tarazed
4.25138520,-0.06447803,2.7,M0,199443,del Oph,Yed Prior
4.80399367,-0.52059937,2.7,K0,268275,del Sgr,Kaus Media
4.98558420,-0.52150714,2.7,A2,269230,,
1.90739427,-0.64747390,2.7,K5,283747,pi Pup,
4.58482308,-0.65093523,2.7,B3,296424,ups Sco,Lesath
3.92058611,-0.75283031,2.7,B2,320091,bet Lup,
3.30383249,-1.20664288,2.7,B3,359520,alp Mus,
3.32336869,-0.02529757,2.7,F0,400177,,
4.58337678,0.91283202,2.8,G0,36022,bet Dra,Rastaban
1.02159371,0.55647403,2.8,B1,68893,zet Per,Atik
4.32064990,0.37506427,2.8,K0,104935,bet Her,Kornephoros
0.05775250,0.26500303,2.8,B2,116243,gam Peg,Algenib
3.41288968,0.19127295,2.8,K0,129529,eps Vir,Vindemiatrix
4.64027473,0.07971432,2.8,K0,164476,bet Oph,Cebalrai
1.34324698,-0.08877534,2.8,A3,187729,bet Eri,Cursa
1.46360213,-0.10314706,2.8,Oe,188225,iot Ori,
3.88719098,-0.27998193,2.8,A3,229372,alp Lib,Zubenelgenubi
1.43224045,-0.36232109,2.8,G0,248938,bet Lep,Nihal
2.12731237,-0.42418991,2.8,F5,253887,rho Pup,
4.34535787,-0.49246268,2.8,B0,265701,tau Sco,
4.83443447,-0.44369251,2.8,K0,268438,lam Sgr,Kaus Borealis
3.49326355,-0.64075070,2.8,A2,291265,iot Cen,
4.18932463,-0.67014573,2.8,B3,294523,,
2.82207479,-0.86254200,2.8,G5,315716,,
4.02595600,-0.77998100,2.8,B3,320519,,
3.20767394,-1.02536193,2.8,B3,340824,del Cru,
4.56098159,-0.96917944,2.8,K2,345989,bet Ara,
2.80542536,-1.12389546,2.8,B0,358184,the Car,
4.16759514,-1.10707383,2.8,F0,361732,bet TrA,
0.11235964,-1.34834150,2.8,G0,366918,bet Hyi,
0.80632691,0.93386406,2.9,F5,28201,gam Per,
1.03783291,0.69830972,2.9,B1,46661,eps Per,
1.31758781,0.76486063,2.9,F5,47627,eps Aur,
3.38605975,0.66878209,2.9,A0,76815,alp CVn,Cor Caroli
5.94721982,0.52746041,2.9,G0,88121,eta Peg,Matar
0.99258859,0.42071345,2.9,B5,92898,eta Tau,Alcyone
1.67097975,0.39293562,2.9,M0,95868,mu Gem,
1.95106277,0.14467567,2.9,B8,152663,bet CMi,Gomeisa
5.63548911,-0.09723544,2.9,G0,205297,bet Aqr,Sadalsuud
1.03859911,-0.23576833,2.9,K5,213659,gam Eri,Zaurak
3.27190002,-0.28824873,2.9,A0,225920,del Crv,Algorab
5.70304135,-0.28147443,2.9,A5,239339,del Cap,Deneb Algedi
4.18378110,-0.45577697,2.9,B2,264940,pi Sco,
4.28124298,-0.44667906,2.9,B1,265440,sig Sco,
5.01679156,-0.36693152,2.9,F2,269391,pi Sgr,
4.58952572,-0.87050376,2.9,B3,323069,alp Ara,
1.78868417,-0.88339224,2.9,K0,335509,tau Pup,
0.51823196,-1.07459645,2.9,F0,352685,alp Hyi,
4.00949769,-1.19868427,2.9,A0,361338,gam TrA,
5.84031520,-1.05172857,2.9,K2,365714,alp Tuc,
4.01743617,1.25374025,3,A2,8887,gam UMi,Pherkad
0.97269359,0.83405067,3,B5,46457,del Per,
2.71542266,0.72430320,3,K5,51850,mu UMa,Tania Australis
2.92195736,0.77664533,3,K0,52277,psi UMa,
5.17043522,0.78767901,3,A0,58782,del Cyg,
0.56524124,0.61064338,3,A5,67012,bet Tri,
3.80515767,0.66860528,3,F0,77976,gam Boo,Seginus
4.52618751,0.57770480,3,B3,80086,,
1.47325285,0.36900652,3,B3,94584,zet Tau,
1.76248605,0.43862019,3,G5,96453,eps Gem,Mebsuta
2.55625801,0.41493850,3,G0,99836,eps Leo,
4.99779474,0.24196289,3,A0,135773,zet Aql,
5.78482384,0.00558248,3,G0,181401,alp Aqr,Sadalmelik
1.84579200,-0.41596994,3,B5,251514,omi2 CMa,
1.98231245,-0.40969902,3,,252684,,
3.18577020,-0.39478935,3,K0,259949,eps Crv,
3.48595287,-0.40442022,3,G5,261484,gam Hya,
1.65942938,-0.52470541,3,B3,282532,zet CMa,Furud
4.73773196,-0.53100037,3,K0,297231,gam Sgr,Alnasl
5.73309606,-0.65214033,3,B8,301949,gam Gru,
3.61988508,-0.74130692,3,B2,318898,mu Cen,
4.08031588,-0.71849857,3,B3,320744,,
4.65821723,-0.70034904,3,F5,323398,iot1 Sco,
5.02896879,1.18091677,3.1,K0,21358,del Dra,Altais
2.35273597,0.83848569,3.1,A5,50941,iot UMa,Talitha
2.44806447,0.60026328,3.1,K5,74424,alp Lyn,
4.51617841,0.43352606,3.1,A2,105702,del Her,
5.10823699,0.48798838,3.1,K0,109139,bet1 Cyg,Albireo
2.33609622,0.10376893,3.1,K0,155196,zet Hya,
2.83452335,-0.28263309,3.1,K0,223512,nu Hya,
5.32766648,-0.25798385,3.1,G0,237293,bet Cap,Dabih
1.53135144,-0.62427610,3.1,K0,281952,bet Col,Wazn
4.41511832,-0.66405288,3.1,B3,295564,,
4.78930280,-0.64161284,3.1,M3,297508,eta Sgr,
1.89166936,-0.77910857,3.1,M5,311594,,
3.92333224,-0.73485813,3.1,B3,320103,kap Cen,
5.39990646,-0.82539243,3.1,K0,326349,alp Ind,
2.40405120,-1.02916476,3.1,B3,337673,,
2.49242623,-0.99543811,3.1,K5,338047,,
4.44456878,-0.97721232,3.1,K5,345563,zet Ara,
3.03591623,-1.09990319,3.1,B9,358820,lam Cen,
5.62283998,1.23151697,3.2,B1,10863,bet Cep,Alfirk
6.19306988,1.35494176,3.2,K0,11709,gam Cep,Errai
4.48892836,1.14693725,3.2,B5,20234,zet Dra,
2.49955961,0.90193951,3.2,F8,32203,the UMa,
1.33742297,0.71967754,3.2,B3,47723,eta Aur,
4.51624589,0.64244120,3.2,K5,80052,pi Her,
4.96957931,0.57054047,3.2,A0,82139,gam Lyr,Sulafat
5.55423290,0.52755999,3.2,K0,86219,zet Cyg,
1.26466659,0.12149692,3.2,F8,148020,pi3 Ori,
4.44041592,0.16362505,3.2,K0,163313,kap Oph,
5.28531417,0.01433739,3.2,A0,180896,the Aql,
4.26873282,-0.08189952,3.2,K0,199508,eps Oph,Yed Posterior
1.33282519,-0.39044857,3.2,K5,248426,eps Lep,
4.91160297,-0.47107803,3.2,B8,268859,,
4.66813739,-0.64652740,3.2,K2,296857,,
1.73556071,-0.75391193,3.2,B8,310958,nu Pup,
4.02024448,-0.70943459,3.2,B2,320495,,
3.85066233,-1.13403015,3.2,F0,360934,alp Cir,
0.99151558,-1.29571435,3.2,M0,368176,gam Hyi,
3.78267332,-1.46028009,3.2,K2,377680,,
3.20890127,0.99540694,3.3,A2,33469,del UMa,Megrez
4.03576577,1.02915196,3.3,K0,34972,iot Dra,Edasich
5.80694931,1.01580339,3.3,K0,40311,zet Cep,
0.17160200,0.53862523,3.3,K2,65514,del And,
0.80798512,0.67789077,3.3,M3,68074,rho Per,
4.93090420,0.58228862,3.3,B8,81887,bet Lyr,Sheliak
2.94192705,0.26929635,3.3,A0,128087,the Leo,Chertan
4.70814186,-0.17058217,3.3,K0,201263,nu Oph,
4.80537146,-0.05059389,3.3,K0,201654,eta Ser,
1.36542096,-0.28284015,3.3,A0,215444,mu Lep,
5.99804337,-0.27612538,3.3,A2,240921,del Aqr,Skat
2.04768245,-0.43388550,3.3,G0,253258,xi Pup,
3.69299306,-0.46569515,3.3,K0,262489,pi Hya,
3.94475085,-0.44125375,3.3,M3,263746,sig Lib,
4.54662538,-0.43632382,3.3,B3,266753,the Oph,
5.00447092,-0.48294021,3.3,K0,269319,,
0.77781296,-0.70344996,3.3,A2,307195,the Eri,Acamar
1.96013906,-0.75575326,3.3,K5,311853,sig Pup,
4.50361916,-0.75466577,3.3,F2,322687,eta Sco,
1.19553461,-0.96071750,3.3,A0,333592,alp Dor,
1.11013761,-1.09037433,3.3,G5,353975,alp Ret,
1.78106755,-1.08108093,3.3,A5,355624,alp Pic,
2.75772515,-1.07661279,3.3,B5,358058,,
3.34352964,-1.18870821,3.3,B3,359611,,
2.67793124,-1.22239253,3.3,B8,370640,omg Car,
0.49914314,1.11125249,3.4,B3,13322,eps Cas,
2.22644889,1.05973211,3.4,G0,16654,omi UMa,Muscida
5.43360113,1.07929052,3.4,K0,22372,7 Cep,
2.69259186,0.74899743,3.4,A2,51795,lam UMa,Tania Borealis
0.49341221,0.51624812,3.4,F5,91161,alp Tri,
2.69081839,0.40870888,3.4,F0,100220,zet Leo,Adhafera
4.65330354,0.48381666,3.4,G5,106324,mu Her,
1.76840846,0.22507000,3.4,F5,122983,xi Gem,
5.94049943,0.18904267,3.4,B8,141743,zet Peg,Homam
3.38420890,0.05929634,3.4,M0,159316,del Vir,
5.08544612,0.05436298,3.4,F0,167816,del Aql,
3.55476917,0.01040114,3.4,A2,179083,zet Vir,
1.41579894,-0.04183641,3.4,B1,188024,,
5.00145484,-0.08521637,3.4,B9,202530,lam Aql,
0.29928004,-0.17771412,3.4,K0,209790,eta Cet,
4.20785727,-0.19849532,3.4,F8,231150,,
0.28835297,-0.81538936,3.4,K0,305559,,
0.38556810,-0.75604589,3.4,K5,305902,gam Phe,
3.94932797,-0.82119976,3.4,B5,320215,,
3.98059467,-0.90930383,3.4,K0,343507,zet Lup,
2.55362060,-1.09096890,3.4,G0,357533,,
2.69253223,-1.07045110,3.4,K5,357895,,
4.94022775,-1.08537837,3.4,B2,363636,lam Pav,
5.43215331,-1.15546342,3.4,A5,364757,bet Pav,
2.29850408,0.11202589,3.4,F8,400124,,
5.97635795,1.15541528,3.5,K0,23981,iot Cep,
3.93548162,0.70494866,3.5,G5,54491,bet Boo,Nekkar
2.96042296,0.57760430,3.5,K0,75790,nu UMa,Alula Borealis
3.99463468,0.58145304,3.5,K0,78453,del Boo,
4.37596018,0.67932238,3.5,K0,79578,eta Her,
1.92039792,0.38366356,3.5,F0,97380,del Gem,Wasat
5.97776730,0.42937867,3.5,K0,114859,mu Peg,Sadalbari
1.05016599,0.21799763,3.5,B3,119535,lam Tau,
1.17206109,0.33476122,3.5,K0,119934,eps Tau,
2.64998809,0.29256343,3.5,A0,127121,eta Leo,
5.23056472,0.34020243,3.5,K5,137344,gam Sge,
1.46232549,0.17338857,3.5,O_,149166,,
2.16645742,0.16031770,3.5,K2,154193,bet Cnc,
2.53574800,0.17265325,3.5,F5,156093,omi Leo,
5.20314458,0.01755204,3.5,G0,168843,eta Aql,
5.80409148,0.10817288,3.5,A2,172728,the Peg,Biham
0.97410483,-0.17040352,3.5,K0,186110,del Eri,
4.14350072,-0.05986872,3.5,A0,198983,mu Ser,
0.45408311,-0.27816131,3.5,K0,210580,tau Cet,
1.51387910,-0.25869231,3.5,A2,216268,zet Lep,
4.61459251,-0.26875539,3.5,A5,233350,xi Ser,
1.84009684,-0.48755506,3.5,K5,251469,sig CMa,
4.96428340,-0.36838068,3.5,K0,269132,xi2 Sgr,
3.02379223,-0.55602073,3.5,G5,289049,xi Hya,
3.11065174,-0.59180905,3.5,B9,289465,,
3.37335252,-0.85421988,3.5,K2,317896,,
3.61939573,-0.72759164,3.5,B2,318895,,
3.65764564,-0.73479869,3.5,B3,319038,,
4.83008387,-0.80230080,3.5,B3,324099,alp Tel,
4.83819107,-0.85644149,3.5,K0,324133,,
2.08033843,-0.92471630,3.5,B3,336522,chi Car,
2.60430438,-0.95238811,3.5,B5,338507,phi Vel,
4.56139923,-0.98397731,3.5,B1,345992,,
5.97144775,-0.89564838,3.5,A2,350542,eps Gru,
1.45571469,-1.09065372,3.5,F5,354837,bet Dor,
0.71253066,0.05647594,3.5,A2,400042,,
4.80426463,1.26942804,3.6,F8,9830,chi Dra,
3.68434212,1.12357049,3.6,A0,18861,alp Dra,Thuban
0.42757374,0.84872234,3.6,K0,44238,51 And,
2.37201350,0.82303696,3.6,A0,50987,kap UMa,
6.02976837,0.73872757,3.6,B5,63726,omi And,
1.80113157,0.59273533,3.6,A2,72194,the Gem,
3.80407542,0.53008131,3.6,K0,77975,rho Boo,
4.36893407,0.55157427,3.6,G0,79555,,
0.74169431,0.47578552,3.6,B8,92012,41 Ari,
0.99990923,0.41981102,3.6,B8,92934,27 Tau,Atlas
2.02653408,0.42582504,3.6,G5,97908,kap Gem,
0.39917228,0.26783439,3.6,G5,117418,eta Psc,
1.13356247,0.27275331,3.6,K0,119792,gam Tau,
1.17225882,0.27699955,3.6,F0,119937,,
1.91154073,0.28868380,3.6,A2,123822,lam Gem,
2.70514594,0.34629528,3.6,K0,127320,,
0.89366675,0.15758320,3.6,G5,146534,omi Tau,
3.10099353,0.03079953,3.6,F8,158259,bet Vir,Zavijava
0.08477020,-0.15400659,3.6,K0,182115,iot Cet,
0.36662139,-0.14282751,3.6,K0,183392,the Cet,
1.38581964,-0.11945741,3.6,B5,187900,tau Ori,
2.66419288,-0.21561952,3.6,K0,222562,lam Hya,
2.96418378,-0.25793459,3.6,K0,224248,del Crt,
5.31476479,-0.21894879,3.6,G5,237217,alp2 Cap,Algedi
1.50300366,-0.39179883,3.6,F8,249307,gam Lep,
4.08854016,-0.49104911,3.6,K2,264451,ups Lib,
1.12528016,-0.58990029,3.6,B9,280068,,
4.02213867,-0.63288077,3.6,K5,293750,phi1 Lup,
4.41714712,-0.66353311,3.6,B2,295577,,
2.49014443,-0.70627855,3.6,F5,314390,,
4.09303336,-0.74293818,3.6,K5,320817,,
0.59563745,-0.89905807,3.6,B8,331742,phi Eri,
2.27020749,-0.92366266,3.6,B3,337127,omi Vel,
2.42687981,-1.00429037,3.6,K5,337769,,
5.47514026,-1.02021771,3.6,K0,348943,bet Ind,
3.07878887,-1.16463624,3.6,A5,358955,lam Mus,
3.23478974,-1.05419767,3.6,K2,359351,,
4.58628123,-1.05913216,3.6,B8,362756,del Ara,
4.65013643,-1.12964385,3.6,K0,362896,eta Pav,
5.27406364,-1.15509501,3.6,G5,364428,del Pav,
3.41329802,-1.24876310,3.6,K2,371724,del Mus,
4.51450500,0.25115772,3.6,Mb,400225,,
5.39983053,0.25473080,3.6,F5,400272,,
2.49376395,1.10063710,3.7,F0,17085,23 UMa,
4.29347199,1.07362949,3.7,G5,19869,,
0.16131867,0.94067874,3.7,B3,25529,zet Cas,
1.56873334,0.94744689,3.7,K0,30177,del Aur,
3.08072560,0.83390813,3.7,K0,52620,chi UMa,
5.51930298,0.76668571,3.7,K5,60925,xi Cyg,
0.97877526,0.56353554,3.7,B1,68738,,
0.98120461,0.42085710,3.7,B5,92806,17 Tau,Electra
3.86148337,0.47253519,3.7,A0,103553,,
4.04841766,0.50799063,3.7,F0,104044,bet CrB,Nusakan
4.70263658,0.51047225,3.7,K0,106582,xi Her,
4.12852267,0.26916157,3.7,A2,131676,bet Ser,
0.90394659,0.16986770,3.7,B8,146568,xi Tau,
1.27062602,0.09782720,3.7,B3,148064,pi4 Ori,
1.28391430,0.04259737,3.7,B3,148148,pi5 Ori,
3.86699039,0.03303597,3.7,A0,160949,109 Vir,
4.14871817,0.07815118,3.7,A2,161966,eps Ser,
4.74445853,0.16692072,3.7,A3,165207,72 Oph,
5.21553824,0.11181883,3.7,K0,168947,bet Aql,Alshain
6.09628548,0.05728645,3.7,K0,173938,gam Psc,
0.92908573,-0.16507770,3.7,K0,185905,eps Eri,
5.98916001,-0.13228916,3.7,M0,206868,lam Aqr,
0.48633890,-0.18038074,3.7,K0,210734,zet Cet,Baten Kaitos
1.22365855,-0.34333191,3.7,M0,214663,,
1.55510930,-0.24727373,3.7,F0,216474,eta Lep,
2.29674690,-0.23645395,3.7,G5,220588,,
5.67271691,-0.29081257,3.7,F0,239166,gam Cap,Nashira
4.17519728,-0.50988199,3.7,B3,264903,,
5.61414489,-0.39115160,3.7,G5,272494,zet Cap,
6.06260485,-0.36952804,3.7,K0,274643,88 Aqr,
2.03005695,-0.66268013,3.7,K5,284382,,
2.28460290,-0.57921184,3.7,B2,285573,alp Pyx,
4.00479184,-0.52619291,3.7,K0,293678,,
5.00219661,-0.64688161,3.7,F8,298559,,
2.06043674,-0.70818237,3.7,G5,312247,,
2.78075724,-0.84169671,3.7,F2,315541,,
6.05140660,-0.75957189,3.7,F5,328952,,
0.50596280,-0.90074498,3.7,G5,331456,chi Eri,
4.20419106,-1.00837124,3.7,A2,344521,,
4.74132246,-0.87426242,3.7,B1,346577,,
5.58445852,-0.93286597,3.7,A5,349299,,
2.40540753,-1.08763537,3.7,B3,357174,,
2.17523751,-1.34249984,3.7,F5,369878,,
5.56232069,0.66402021,3.7,F0,400283,tau Cyg,
3.01681964,1.21005553,3.8,M0,17889,lam Dra,Giausar
0.74480551,0.97556051,3.8,K0,28039,eta Per,
2.57867786,1.03042033,3.8,F0,32349,ups UMa,
4.68415282,0.99261509,3.8,K0,36240,xi Dra,Grumium
5.04881239,0.93145575,3.8,K0,37265,kap Cyg,
5.10380444,0.90285523,3.8,A2,37459,iot2 Cyg,
5.88686946,1.01953708,3.8,F5,40731,del Cep,
5.89612196,0.87759542,3.8,A0,40777,alp Lac,
0.98259367,0.74313550,3.8,F5,46487,nu Per,
1.31980961,0.71690834,3.8,K0,47641,zet Aur,
4.62278755,0.80296247,3.8,B3,56383,iot Her,
5.29546741,0.81579050,3.8,K0,59524,31 Cyg,
6.18529080,0.81084811,3.8,K0,64456,lam And,
2.85060990,0.59716217,3.8,K0,75534,46 LMi,
1.85052330,0.35901907,3.8,G0,96982,zet Gem,Mechbuda
1.94484903,0.48516749,3.8,K0,97492,iot Gem,
4.74529970,0.50200037,3.8,A0,106802,omi Her,
4.81579166,0.37995371,3.8,K0,107183,109 Her,
5.79017873,0.44235525,3.8,F5,114048,iot Peg,
1.14726963,0.30617428,3.8,K0,119835,del1 Tau,
4.17331400,0.27334706,3.8,F5,131822,gam Ser,
4.28443541,0.33428485,3.8,F0,132244,gam Her,
5.18095679,0.32348388,3.8,M0,136976,del Sge,
5.40894210,0.27771722,3.8,B8,138790,alp Del,Sualocin
2.76115967,0.16243032,3.8,B0,156938,rho Leo,
4.65956106,0.04725086,3.8,A0,164596,gam Oph,
5.85407996,-0.02421372,3.8,A0,181446,gam Aqr,Sadachbia
1.47806531,-0.04538151,3.8,B0,188303,,
4.86600966,-0.14388605,3.8,K0,201884,,
5.44401347,-0.16573229,3.8,A0,204453,eps Aqr,Albali
2.73183516,-0.29384969,3.8,K5,222953,mu Hya,
4.24113037,-0.33965362,3.8,B3,231336,,
1.53292893,-0.36440967,3.8,K0,249494,del Lep,
1.89722271,-0.46727191,3.8,B3,251951,,
1.99971622,-0.44270087,3.8,B8,252841,,
2.02257422,-0.49586176,3.8,K5,253043,,
3.86592465,-0.44407498,3.8,F5,263376,,
4.09566067,-0.51972012,3.8,B3,264487,,
1.20231688,-0.53341344,3.8,K0,280424,ups2 Eri,
1.32822297,-0.61929425,3.8,K0,281010,,
2.27166194,-0.81417461,3.8,F5,313395,,
2.37432344,-0.82201129,3.8,K0,313920,,
2.68229246,-0.73516826,3.8,A2,315161,,
3.65942747,-0.78197053,3.8,B3,319048,,
3.83050298,-0.86264604,3.8,B5,319720,,
4.42695310,-0.73934299,3.8,K5,322371,,
2.50648115,-1.03375424,3.8,B5,338096,,
2.73963801,-1.02519719,3.8,F0,339063,,
3.19243482,-0.91400464,3.8,B3,340769,,
4.40602166,-1.03046726,3.8,K5,345419,,
0.13764815,-1.09882948,3.8,B9,351869,,
0.97825573,-1.13109489,3.8,K0,353699,bet Ret,
2.20669205,-1.15430753,3.8,K0,356715,bet Vol,
2.33458382,-1.05844881,3.8,B8,357008,,
3.17161813,-1.12772044,3.8,F0,359197,,
4.25615031,-1.11152413,3.8,G0,361956,del TrA,
1.87076584,-1.23043937,3.8,K0,369422,gam2 Vol,
3.87402283,-1.37959138,3.8,K5,372410,alp Aps,
5.67875946,-1.35071118,3.8,K0,375094,nu Oct,
1.69654729,-0.12275967,3.8,B2,400087,,
2.00201627,-0.46779672,3.8,B8,400108,,
2.43841404,0.64232479,3.8,A2,400135,,
2.95913302,0.55029261,3.8,G0,400161,,
3.84473490,0.23960946,3.8,A2,400195,,
4.32366779,0.03463024,3.8,A0,400217,,
3.28768776,1.21803435,3.9,B5,18276,kap Dra,
0.76034228,0.92087910,3.9,G0,28080,tau Per,
4.27492511,0.80832117,3.9,B5,55342,tau Her,
4.95383426,0.76700428,3.9,M3,57635,13 Lyr,R Lyrae
5.48545479,0.71850298,3.9,A0,60744,nu Cyg,
0.24763422,0.67194012,3.9,A2,65785,mu And,
4.45185350,0.53976779,3.9,A0,79844,eps Her,
4.69603997,0.65014435,3.9,K0,80751,the Her,
